0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.46000576,0.20000352,-0.15999547,0.09000102,0.33999988,-1.1700017,0.5300044,-1.1800019,0.090004064,-0.6599966,0.62999815,0.2700073,-0.1899996,0.36000106,0.040002674,4.6640635e-06,-0.2599992,-0.20999455,-0.009996191,1.0899975
-1.5799911,-0.089995794,0.40000126,-1.4100009,0.86998904,-0.61000204,-0.1499948,0.5300022,0.29999915,-0.5199975,0.30000642,0.11000677,-0.03999657,0.720004,0.29000223,-0.98999774,0.07000483,0.82999605,0.27000567,0.9999925
-0.39,-0.5,-0.59,-0.3,-0.9000001,-0.2,-0.70000005,-0.2,-0.39,-0.3,-0.8000001,-0.70000005,-0.5,-0.48999998,-0.5,-0.6,-0.4,-0.9000001,-0.5,-0.8000001
-0.28999996,-0.42,-0.27999997,-0.34,-0.40999997,-0.3,-0.39999998,-0.44,-0.6,-0.45999998,-0.30999994,-0.27999997,-0.58,-0.27999997,-0.38,-0.5,-0.27999997,-0.5,-0.5,-0.29999995
-0.16999999,-0.31,-0.13,-0.47,-0.6500001,-0.21000001,-0.17000002,-0.47,-0.22999999,-0.3,-0.7500002,-0.45000002,-0.47,-0.22999999,-0.56000006,-0.48000008,-0.35,-0.5500001,-0.35,-0.6500001
-0.4200066,-0.9599969,-0.04999784,-0.35999858,0.18000564,-2.0200016,0.7900024,-1.4500031,-0.09999976,-1.0099993,1.4300151,0.10000813,-0.72999907,-0.069996156,-0.5199985,-0.6599952,-0.49999896,0.84998643,-0.31999248,0.6000056
-0.52,-0.70000005,-0.22,-0.6,-0.70000005,-0.4,-0.3,-0.1,-0.42,-0.2,-0.6,-0.5,-0.3,-0.42,-0.5,-0.70000005,-0.4,-0.6,-0.5,-0.70000005
-0.32,-0.5,-0.32,-0.4,-0.4,-0.3,-0.5,-0.4,-0.52,-0.4,-0.6,-0.6,-0.4,-0.32,-0.5,-0.4,-0.6,-0.6,-0.70000005,-0.6
-0.29,-0.44,-0.69,-0.27,-0.57,-0.4,-0.54,-0.37,-0.53,-0.64000005,-0.41,-0.29000002,-0.57,-0.52,-0.3,-0.41,-0.45,-0.65000004,-0.61,-0.39
0.030000024,-0.6,-0.37,-0.32,-0.42,-0.32,-0.6,-0.5,-0.77000004,-0.5,-0.07999997,-0.70000005,-0.4,-0.47,-0.4,-0.6,-0.35999995,-0.6,-0.6,-0.42
-0.35999998,-0.4,-0.45999998,-0.2,-0.6,-0.4,-0.4,-0.5,-0.56,-0.6,-0.6,-0.70000005,-0.5,-0.66,-0.2,-0.5,-0.6,-0.8000001,-0.6,-0.70000005
0.26000002,-0.6,-0.44,-0.22,-0.42,-0.22,-0.6,-0.3,-0.54,-0.5,-0.5800001,-0.6,-0.5,-0.54,-0.4,-0.3,-0.25999996,-0.70000005,-0.6,-0.7200001
-0.05999995,-0.62,-0.62,-0.2,-0.59999996,-0.25999996,-0.5,-0.6,-0.42,-0.70000005,-0.68,-0.70000005,-0.5,-0.72,-0.5,-0.8000001,-0.11999997,-0.64000005,-0.70000005,-0.6800001
-0.27,-0.5,-0.67,-0.3,-0.50000006,-0.3,-0.6,-0.5,-0.57,-0.5,-0.40000004,-0.62000006,-0.6,-0.47,-0.4,-0.5,-0.5,-0.58000004,-0.6,-0.56000006
0.15,-0.63,-0.79,-0.26000002,-0.11,0.26,-1.1300001,-0.32,-0.9200002,-0.83000004,0.15000007,-0.9100001,-0.9600001,-0.78000003,-0.7300001,-0.9500001,-0.35,-0.27999994,-0.88000005,-0.4799999
-0.31999996,-0.58,-0.32000002,-0.36,-0.8,-0.16,-0.68,-0.07999998,-0.22,-0.09999998,-0.7000001,-0.50000006,-0.44,-0.11999999,-0.62,-0.58,-0.40000004,-0.6,-0.40000004,-0.6
-0.41,-0.46,-0.43,-0.4,-0.21,-0.4,-0.42000008,-0.5,-0.36,-0.42000002,-0.22999997,-0.39000005,-0.53000003,-0.36,-0.22999999,-0.32000002,-0.52000004,-0.35000005,-0.59000003,-0.37000003
-0.59000003,-0.5,-0.64000005,-0.33,-0.7800001,-0.23000002,-0.6,-0.3,-0.54,-0.3,-0.52,-0.9000001,-0.4,-0.24000001,-0.4,-0.5,-0.49,-1.0000001,-0.70000005,-0.8800001
